#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
HIV-1_SL4            RF01382   3cgs_B               -          cm       11       20       13        4      -    5'    2 0.60   0.0    8.2       5.5 ?   HIV-1 stem-loop 4 packaging signal
NsiR1                RF02399   4oq9_o               -          cm       53       60        1        8      +    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_q               -          cm       53       60        1        8      +    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_h               -          cm       53       60        1        8      +    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_e               -          cm       53       60        1        8      +    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_i               -          cm       53       60        1        8      +    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_p               -          cm       53       60        1        8      +    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_r               -          cm       53       60        1        8      +    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_f               -          cm       53       60        1        8      +    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
let-7                RF00027   8isz_C               -          cm        7       27        1       21      + 5'&3'    4 0.38   0.0   18.0      0.03 ?   let-7 microRNA precursor
mir-3596             RF04289   8isz_C               -          cm       53       73       21        1      - 5'&3'    4 0.38   0.0   13.1      0.85 ?   mir-3596 microRNA precursor family
let-7                RF00027   8isz_C               -          cm       59       77       21        3      -    5'    4 0.37   0.0   11.9       1.2 ?   let-7 microRNA precursor
mir-1827             RF02028   8isz_C               -          cm       49       66        1       18      +    5'    2 0.39   0.0    9.7         5 ?   microRNA mir-1827
mir-4510             RF03204   8isz_C               -          cm       12       32        1       21      + 5'&3'    4 0.38   0.0    9.3       5.1 ?   mir-4510 microRNA precursor family
CRISPR-DR4           RF01317   7jzy_M               -          cm        1       21       41       61      +    3'    3 0.52   0.0   28.8   2.7e-05 !   CRISPR RNA direct repeat element
flpD                 RF01737   7jzy_M               -          cm       20       47        3       27      +    5'    2 0.48   0.0   10.2         8 ?   flpD RNA
SSU_rRNA_bacteria      RF00177   8cf8_A               -          cm        1     1533        1     1540      +    no    1 0.54  14.0 1565.8         0 !   Bacterial small subunit ribosomal RNA
SSU_rRNA_archaea       RF01959   8cf8_A               -          cm        1     1478        6     1540      +    no    1 0.55  14.6 1026.3         0 !   Archaeal small subunit ribosomal RNA
SSU_rRNA_microsporidia RF02542   8cf8_A               -          cm        1     1311        6     1537      +    no    1 0.55  15.1  727.7  3.7e-223 !   Microsporidia small subunit ribosomal RNA
SSU_rRNA_eukarya       RF01960   8cf8_A               -          cm        1     1831        6     1537      +    no    1 0.55  15.1  695.3  2.5e-209 !   Eukaryotic small subunit ribosomal RNA
Betaproteobacteria-1   RF02932   8cf8_A               -          cm        1      120      677      758      +    no    1 0.60   0.0   13.9       9.4 ?   Betaproteobacteria-1 RNA
mir-TAR              RF00250   5j0m_B               -          cm       19       43        3       27      +    no    1 0.60   0.0   30.6     9e-06 !   Trans-activation response element (TAR)
tracrRNA             RF02348   5fq5_A               -          cm       21       70       36       84      +    3'    4 0.31   0.0   44.2   8.5e-07 !   Trans-activating crRNA
CRISPR-DR13          RF01326   5fq5_A               -          cm        1       30       45       79      +    no    1 0.31   0.0   14.8       3.3 ?   CRISPR RNA direct repeat element
raiA-hairpin         RF03059   2rp1_A               -          cm       15       31       17        1      -    3'    4 0.71   0.0    7.7       9.7 ?   raiA-hairpin RNA
TPP                  RF00059   7tzr_Y               -          cm        6       93        1       80      +    no    1 0.55   0.0   63.7   4.5e-13 !   TPP riboswitch aptamer (THI element)
TPP                  RF00059   7tzr_X               -          cm        6       93        1       80      +    no    1 0.55   0.0   63.7   4.5e-13 !   TPP riboswitch aptamer (THI element)
SSU_rRNA_bacteria      RF00177   5no2_A               -          cm        1     1533        1     1534      +    no    1 0.54  15.6 1558.3         0 !   Bacterial small subunit ribosomal RNA
SSU_rRNA_archaea       RF01959   5no2_A               -          cm        1     1478        7     1534      +    no    1 0.55  15.8 1009.1  1.1e-298 !   Archaeal small subunit ribosomal RNA
SSU_rRNA_microsporidia RF02542   5no2_A               -          cm        1     1311        6     1534      +    no    1 0.55  16.2  720.9  4.7e-221 !   Microsporidia small subunit ribosomal RNA
SSU_rRNA_eukarya       RF01960   5no2_A               -          cm        1     1831        6     1534      +    no    1 0.55  16.2  689.0  2.2e-207 !   Eukaryotic small subunit ribosomal RNA
Betaproteobacteria-1   RF02932   5no2_A               -          cm        1      120      677      758      +    no    1 0.60   0.0   13.9       9.3 ?   Betaproteobacteria-1 RNA
SSU_rRNA_bacteria      RF00177   3jbv_A               -          cm        1     1533        1     1542      +    no    1 0.54  14.2 1577.5         0 !   Bacterial small subunit ribosomal RNA
SSU_rRNA_archaea       RF01959   3jbv_A               -          cm        1     1478        6     1540      +    no    1 0.55  15.0 1025.8         0 !   Archaeal small subunit ribosomal RNA
SSU_rRNA_microsporidia RF02542   3jbv_A               -          cm        1     1311        6     1537      +    no    1 0.55  15.6  727.4  4.5e-223 !   Microsporidia small subunit ribosomal RNA
SSU_rRNA_eukarya       RF01960   3jbv_A               -          cm        1     1831        6     1537      +    no    1 0.55  15.6  694.3  5.2e-209 !   Eukaryotic small subunit ribosomal RNA
Betaproteobacteria-1   RF02932   3jbv_A               -          cm        1      120      677      758      +    no    1 0.60   0.0   13.9       9.4 ?   Betaproteobacteria-1 RNA
tRNA                 RF00005   3jbv_V               -          cm        1       71        1       73      +    no    1 0.60   0.0   64.8   9.7e-15 !   tRNA
tRNA-Sec             RF01852   3jbv_V               -          cm        1       91        1       72      +    no    1 0.61   0.0   22.5    0.0071 !   Selenocysteine transfer RNA
YrlA                 RF02553   3jbv_V               -          cm       56      114        1       54      +    5'    2 0.59   0.0   11.1       6.5 ?   Y RNA-like
beta_tmRNA           RF01850   3jbv_V               -          cm       85      113       48       76      +    3'    4 0.62   0.0    4.3       7.4 ?   Betaproteobacteria transfer-messenger RNA
tRNA                 RF00005   3jbv_W               -          cm        1       71        1       73      +    no    1 0.66   0.0   57.6   9.1e-13 !   tRNA
tRNA-Sec             RF01852   3jbv_W               -          cm        1       91        2       71      +    no    1 0.66   0.0   15.5      0.44 ?   Selenocysteine transfer RNA
beta_tmRNA           RF01850   3jbv_W               -          cm       82      112       45       75      +    3'    4 0.58   0.0    5.8       2.3 ?   Betaproteobacteria transfer-messenger RNA
HPnc0260             RF02194   3jbv_W               -          cm      119      156       75       38      -    5'    2 0.61   0.0   19.0       5.6 ?   Bacterial antisense RNA HPnc0260
mascRNA-menRNA       RF01684   3jbv_W               -          cm        1       56       28       72      +    no    1 0.64   0.0   10.8       6.3 ?   MALAT1-associated small cytoplasmic RNA/MEN beta RNA
5S_rRNA              RF00001   3jbv_a               -          cm        1      120        3      118      +    no    1 0.66   0.0   92.8   1.8e-21 !   5S ribosomal RNA
DUF805b              RF02914   3jbv_a               -          cm        1       35       94      108      +    no    1 0.53   0.0    9.3       3.4 ?   DUF805b RNA
AS-pc02              RF02876   3jbv_a               -          cm      140      185        1       44      +    5'    2 0.75   0.0    8.5       3.8 ?   Antisense to pHK01_099
LSU_rRNA_bacteria    RF02541   3jbv_b               -          cm        1     2925        1     2904      +    no    1 0.53  44.2 2878.6         0 !   Bacterial large subunit ribosomal RNA
LSU_rRNA_archaea     RF02540   3jbv_b               -          cm        1     2987        1     2903      +    no    1 0.53  44.5 1862.6         0 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_eukarya     RF02543   3jbv_b               -          cm        1     3401      160     2893      +    no    1 0.54  43.5 1270.5         0 !   Eukaryotic large subunit ribosomal RNA
5_8S_rRNA            RF00002   3jbv_b               -          cm        1      154       13      166      +    no    1 0.49   0.0   38.0   1.7e-07 !   5.8S ribosomal RNA
sR14                 RF01145   3jbv_b               -         hmm       15       43     1505     1532      +     -    6 0.57   0.0   16.4     0.082 ?   Small nucleolar RNA sR14
SSU_rRNA_bacteria      RF00177   5uyq_A               -          cm        1     1533        1     1539      +    no    1 0.55  14.5 1564.7         0 !   Bacterial small subunit ribosomal RNA
SSU_rRNA_archaea       RF01959   5uyq_A               -          cm        1     1478        5     1539      +    no    1 0.55  15.0 1025.8         0 !   Archaeal small subunit ribosomal RNA
